pm10,month,pm10_40,pm10_60
8,1335,7,7
8,1336,7,7
12,1337,11,11
83,1338,79,77
86,1339,82,81
40,1340,38,37
8,1341,7,7
7,1342,6,6
12,1343,10,10
9,1344,8,7
10,1345,9,9
7,1346,6,6
9,1347,8,8
11,1348,10,10
15,1349,14,13
13,1350,12,12
14,1351,12,12
12,1352,11,10
16,1353,14,14
21,1354,19,19
19,1355,18,17
18,1356,16,16
13,1357,12,12
23,1358,21,20
30,1359,28,28
33,1360,30,30
32,1361,30,30
16,1362,15,14
14,1363,12,12
20,1364,18,18
25,1365,23,22
33,1366,31,30
38,1367,36,35
34,1368,32,32
30,1369,28,28
17,1370,15,15
17,1371,15,15
19,1372,17,17
37,1373,34,33
56,1374,52,51
68,1375,64,63
94,1376,90,88
32,1377,30,29
19,1378,18,17
26,1379,24,24
28,1380,26,25
36,1381,33,33
18,1382,16,16
21,1383,19,19
21,1384,20,19
20,1385,18,18
17,1386,16,15
22,1387,21,20
26,1388,24,24
37,1389,35,34
28,1390,26,25
17,1391,16,15
14,1392,13,12
19,1393,17,17
13,1394,11,11
29,1395,27,26
41,1396,39,38
37,1397,34,34
27,1398,25,25
14,1399,12,12
14,1400,12,12
15,1401,14,13
28,1402,26,26
51,1403,48,47
52,1404,49,48
104,1405,99,97
21,1406,19,19
17,1407,15,15
32,1408,30,29
26,1409,24,24
40,1410,37,37
18,1411,16,16
20,1412,18,18
22,1413,20,20
20,1414,18,18
18,1415,16,16
19,1416,18,17
31,1417,29,28
29,1418,27,27
25,1419,23,23
15,1420,13,13
13,1421,12,12
17,1422,15,15
19,1423,18,17
21,1424,19,19
25,1425,23,22
28,1426,26,25
25,1427,23,23
15,1428,13,13
11,1429,9,9
14,1430,12,12
27,1431,25,24
48,1432,45,44
51,1433,49,48
100,1434,95,93
18,1435,17,16
17,1436,16,15
26,1437,24,24
19,1438,17,17
31,1439,29,28
18,1440,17,16
16,1441,14,14
16,1442,14,14
14,1443,12,12
10,1444,9,8
16,1445,15,14
16,1446,15,14
19,1447,17,17
18,1448,17,16
10,1449,9,9
9,1450,8,8
12,1451,11,10
10,1452,9,8
14,1453,13,12
19,1454,17,17
22,1455,20,20
12,1456,11,11
11,1457,9,9
9,1458,8,8
10,1459,9,9
14,1460,12,12
39,1461,37,36
52,1462,50,49
97,1463,92,90
14,1464,13,12
9,1465,8,8
17,1466,15,15
9,1467,7,7
11,1468,9,9
16,1469,14,14
20,1470,18,18
34,1471,31,31
14,1472,13,13
13,1473,12,12
4,1474,3,3
20,1475,19,18
43,1476,40,39
16,1477,15,14
9,1478,8,8
10,1479,8,8
16,1480,14,14
12,1481,11,10
17,1482,15,15
25,1483,23,23
27,1484,25,24
16,1485,15,14
12,1486,11,10
16,1487,14,14
25,1488,23,23
19,1489,17,17
42,1490,40,39
32,1491,29,29
NA,1492,NA,NA
NA,1493,NA,NA
NA,1494,NA,NA
NA,1495,NA,NA
9,1496,8,8
18,1497,17,16
15,1498,13,13
13,1499,11,11
12,1500,10,10
12,1501,10,10
11,1502,9,9
15,1503,13,13
11,1504,10,10
16,1505,14,14
13,1506,11,11
8,1507,7,7
7,1508,5,5
9,1509,8,8
9,1510,8,8
9,1511,7,7
12,1512,11,11
15,1513,13,13
12,1514,10,10
9,1515,7,7
8,1516,6,6
10,1517,9,8
10,1518,9,9
2,1519,1,1
43,1520,40,39
113,1521,108,105
13,1522,11,11
9,1523,8,8
13,1524,12,11
8,1525,7,7
9,1526,8,8
22,1527,20,20
20,1528,19,18
36,1529,33,33
48,1530,45,45
24,1531,22,22
34,1532,32,31
34,1533,32,31
28,1534,26,25
31,1535,29,28
29,1536,27,27
27,1537,25,24
19,1538,17,17
29,1539,27,26
39,1540,37,36
28,1541,26,26
23,1542,21,20
32,1543,29,29
16,1544,14,14
25,1545,23,23
35,1546,32,32
37,1547,34,34
31,1548,29,28
36,1549,33,33
40,1550,38,37
40,1551,37,37
36,1552,34,33
34,1553,32,31
35,1554,32,32
76,1555,72,70
26,1556,24,23
21,1557,19,19
40,1558,38,37
46,1559,44,43
22,1560,20,19
30,1561,28,27
31,1562,29,28
26,1563,24,24
28,1564,26,25
25,1565,24,23
27,1566,25,25
22,1567,21,20
28,1568,26,26
41,1569,39,38
25,1570,23,23
20,1571,18,18
31,1572,28,28
18,1573,17,16
22,1574,20,19
26,1575,24,23
35,1576,32,32
33,1577,31,30
35,1578,33,32
39,1579,37,36
40,1580,37,37
28,1581,26,25
27,1582,25,25
29,1583,27,26
79,1584,75,73
19,1585,18,17
17,1586,15,15
37,1587,34,34
49,1588,46,45
25,1589,23,23
29,1590,27,26
23,1591,21,20
24,1592,22,22
25,1593,23,23
28,1594,26,26
24,1595,23,22
20,1596,19,18
28,1597,26,25
34,1598,32,31
26,1599,24,24
20,1600,18,18
31,1601,28,28
18,1602,16,16
22,1603,20,20
29,1604,27,26
30,1605,28,28
31,1606,29,29
37,1607,34,34
37,1608,35,34
34,1609,32,31
34,1610,32,31
31,1611,29,29
28,1612,26,26
72,1613,68,67
11,1614,10,10
7,1615,6,6
21,1616,19,19
43,1617,41,40
11,1618,10,10
18,1619,16,16
16,1620,14,14
18,1621,17,16
20,1622,18,18
14,1623,13,12
19,1624,17,17
17,1625,16,15
18,1626,17,16
28,1627,26,25
22,1628,20,20
17,1629,16,15
25,1630,23,23
13,1631,11,11
17,1632,15,15
23,1633,21,20
